surfaceName	patchColor	patchColorName	patchLocation	tableColor	tableColorName	glossiness	roughness	floorName	floorPattern	whichImage	lightPower	coneImageDir	imageRes
con1	2	yel	center	5	g	0.02	0	bb	2	left	7	coneImages	800'
con1	2	yel	center	5	g	0.02	0	bb	2	right	7	coneImages	800'
con2	2	yel	top	5	g	0.02	0	bb	2	left	7	coneImages	800'
con2	2	yel	top	5	g	0.02	0	bb	2	right	7	coneImages	800'
con3	2	yel	bottom	5	g	0.02	0	bb	2	left	7	coneImages	800'
con3	2	yel	bottom	5	g	0.02	0	bb	2	right	7	coneImages	800'
con4	2	yel	side	5	g	0.02	0	bb	2	left	7	coneImages	800'
con4	2	yel	side	5	g	0.02	0	bb	2	right	7	coneImages	800'
con5	1	blu	center	5	g	0.02	0	bb	2	left	7	coneImages	800'
con5	1	blu	center	5	g	0.02	0	bb	2	right	7	coneImages	800'
con6	1	blu	top	5	g	0.02	0	bb	2	left	7	coneImages	800'
con6	1	blu	top	5	g	0.02	0	bb	2	right	7	coneImages	800'
con7	1	blu	bottom	5	g	0.02	0	bb	2	left	7	coneImages	800'
con7	1	blu	bottom	5	g	0.02	0	bb	2	right	7	coneImages	800'
con8	1	blu	side	5	g	0.02	0	bb	2	left	7	coneImages	800'
con8	1	blu	side	5	g	0.02	0	bb	2	right	7	coneImages	800'
con9	3	red	center	5	g	0.02	0	bb	2	left	7	coneImages	800'
con9	3	red	center	5	g	0.02	0	bb	2	right	7	coneImages	800'
con10	3	red	top	5	g	0.02	0	bb	2	left	7	coneImages	800'
con10	3	red	top	5	g	0.02	0	bb	2	right	7	coneImages	800'
con11	3	red	bottom	5	g	0.02	0	bb	2	left	7	coneImages	800'
con11	3	red	bottom	5	g	0.02	0	bb	2	right	7	coneImages	800'
con12	3	red	side	5	g	0.02	0	bb	2	left	7	coneImages	800'
con12	3	red	side	5	g	0.02	0	bb	2	right	7	coneImages	800'
con13	4	gre	center	5	g	0.02	0	bb	2	left	7	coneImages	800'
con13	4	gre	center	5	g	0.02	0	bb	2	right	7	coneImages	800'
con14	4	gre	top	5	g	0.02	0	bb	2	left	7	coneImages	800'
con14	4	gre	top	5	g	0.02	0	bb	2	right	7	coneImages	800'
con15	4	gre	bottom	5	g	0.02	0	bb	2	left	7	coneImages	800'
con15	4	gre	bottom	5	g	0.02	0	bb	2	right	7	coneImages	800'
con16	4	gre	side	5	g	0.02	0	bb	2	left	7	coneImages	800'
con16	4	gre	side	5	g	0.02	0	bb	2	right	7	coneImages	800'
